place_name,id,latitude,longitude,Kwh req per block (S19),co2,S19 Kwh req per block,"Production fuel
mix factor
(kgCO_{2} e per kWh)",Power x Emissions factor
Aachen,1,50.775,6.08333,86509,17.98734453,86509,0.550290739,47605.10154
Aarhus,2,56.18333,10.23333,86509,23.18938607,86509,0.090261827,7808.460432
Abee,6,54.21667,-113,86509,18.54702924,86509,0.586191606,50710.84963
Acapulco,10,16.88333,-99.9,86509,14.63440008,86509,0.294558842,25481.99085
Achiras,370,-33.16667,-64.95,86509,27.1976136,86509,0.494911395,42814.28991
Adhi Kot,379,32.1,71.8,86509,26.01454242,86509,0.697889649,60373.73561
Adzhi-Bogdo (stone),390,44.83333,95.16667,86509,12.49684654,86509,0.398341581,34460.13184
Agen,392,44.21667,0.61667,86509,12.41489131,86509,0.361772614,31296.58706
Aguada,398,-31.6,-65.23333,86509,28.61203524,86509,0.129516785,11204.36753
Aguila Blanca,417,-30.86667,-64.55,86509,12.33711635,86509,0.033369559,2886.767175
Aioun el Atrouss,423,16.39806,-9.57028,86509,23.96434631,86509,0.019092264,1651.652665
Aïr,424,19.08333,8.38333,86509,23.02335896,86509,0.186322533,16118.57599
Aire-sur-la-Lys,425,50.66667,2.33333,86509,29.51920711,86509,0.378341443,32729.93988
Akaba,426,29.51667,35.05,86509,15.28244115,86509,0.478515468,41395.89461
Akbarpur,427,29.71667,77.95,86509,29.65889367,86509,0.351139702,30376.74452
Akwanga,432,8.91667,8.43333,86509,14.78142265,86509,0.056876355,4920.316567
Akyumak,433,39.91667,42.81667,86509,21.5612714,86509,0.711844182,61580.92831
Al Rais,446,24.41667,39.51667,86509,13.72264035,86509,0.961707423,83196.34749
Al Zarnkh,447,13.66033,28.96,86509,14.68083123,86509,0.005988218,518.0347371
Alais,448,44.11667,4.08333,86509,20.75189907,86509,0.121645715,10523.44917
Albareto,453,44.65,11.01667,86509,20.58907348,86509,0.817206558,70695.72217
Alberta,454,2,22.66667,86509,30.39918012,86509,0.42692519,36932.87127
Alby sur Chéran,458,45.82133,6.01533,86509,29.14144467,86509,0.502523336,43472.79125
Aldsworth,461,51.78333,-1.78333,86509,16.99176974,86509,0.00591561,511.75348
Aleppo,462,36.23333,37.13333,86509,27.15828871,86509,0.284594601,24619.99435
Alessandria,463,44.88333,8.75,86509,12.3484857,86509,0.580925253,50255.26272
Alexandrovsky,465,50.95,31.81667,86509,30.51831163,86509,0.534407386,46231.04858
Alfianello,466,45.26667,10.15,86509,15.17815945,86509,0.923399006,79882.32462
Allegan,2276,42.53333,-85.88333,86509,18.0486152,86509,0.620389038,53669.23525
Allende,2278,26.96667,-105.31667,86509,27.09921288,86509,0.020084116,1737.456819
Almahata Sitta,48915,20.74575,32.41275,86509,12.7696246,86509,0.623565068,53943.99044
Alta'ameem,2284,35.27333,44.21556,86509,25.65926881,86509,0.914375836,79101.7392
Ambapur Nagla,2290,27.66667,78.25,86509,19.47839424,86509,0.410185654,35484.75076
Andhara,2294,26.58333,85.56667,86509,27.9497588,86509,0.446378483,38615.75619
Andover,2295,44.61667,-70.75,86509,14.24426252,86509,0.001132713,97.98984867
Andreevka,2296,48.7,37.5,86509,27.78639395,86509,0.921781789,79742.42076
Andura,2298,20.88333,76.86667,86509,16.45255088,86509,0.507723338,43922.63823
Angers,2301,47.46667,-0.55,86509,16.05221758,86509,0.041927214,3627.081369
Angra dos Reis (stone),2302,-22.96667,-44.31667,86509,13.50752577,86509,0.671601821,58099.60193
Ankober,2304,9.53333,39.71667,86509,21.37165976,86509,0.653027653,56492.76924
Anlong,2305,25.15,105.18333,86509,14.61768816,86509,0.311966426,26987.90353
Aomori,2313,40.81056,140.78556,86509,26.53040219,86509,0.819007336,70851.50562
Appley Bridge,2318,53.58333,-2.71667,86509,16.22440247,86509,0.635666684,54990.88917
Apt,2320,43.86667,5.38333,86509,30.40679325,86509,0.36235168,31346.68147
Arbol Solo,2325,-33,-66,86509,10.75823587,86509,0.075465264,6528.424534
Archie,2329,38.5,-94.3,86509,11.54695324,86509,0.302534921,26171.99345
