IP,blockhash,Location,lat,long,CO2 Emissions x Power Consumption per day
3.222.208.128:8333,00000000000000000008ece1bebae53f9d56889a5eed35ba7f021bbc098b0362,"Ashburn, Virginia",39.0469,77.4903,12.636
3.222.208.128:8333,00000000000000000008ece1bebae53f9d56889a5eed35ba7f021bbc098b0362,"Ashburn, Virginia",39.0469,77.4903,12.636
192.99.6.223:8333,000000000000000000012008a350043bc20c298aeb5ea12a9b1d20b4e2ab6748,"Beauharnois, Quebec",43.6319,-79.3716,0.0518
3.222.208.128:8333,00000000000000000001ac3756800c0aac27397c0e4da140d16076b9706ece3b,"Ashburn, Virginia",39.0469,-77.4903,12.636
3.219.31.130:8333,00000000000000000007a8b098a0344cdedec8a54b37829423946d9849f2a6c4,"Ashburn, Virginia",39.0469,-77.4903,12.636
18.211.2.126:8333,000000000000000000007a13424979d2c8d76dda4fbc562c93cb612b67021be7,"Ashburn, Virginia",39.0469,-77.4903,12.636
18.211.2.126:8333,000000000000000000027ce2c238157476b2910c8de20169d7ccd9a5f6269e77,"Ashburn, Virginia",39.0469,-77.4903,12.636
3.222.208.128:8333,00000000000000000004e90ede8f2e548ebb3eec8238a358beee76a974d42e26,"Ashburn, Virginia",39.0469,-77.4903,12.636
3.238.195.221:8333,00000000000000000001cb2aee7d25b83aaa05ede0e7d3ebef83f5d2c112765d,"Ashburn, Virginia",39.0469,-77.4903,12.636
52.91.88.218:8333,00000000000000000009bf80c3471c6fe6a91568614c49682fbd346ea7ddec81,"Ashburn, Virginia",39.0469,-77.4903,12.636
18.211.2.126:8333,00000000000000000006e2997aa7e27a8116d33153a053694351d0d2afd516d1,"Ashburn, Virginia",39.0468,-77.4903,12.636
147.135.70.192:8333,000000000000000000094d30a4080199db98eb86b0fc49ea739bca5e97c43f58,"Reston, Virginia",38.6583,-77.2481,12.636
52.91.88.218:8333,000000000000000000043a0c9184c33239ebbf1229af47cc2096df263bb5ee66,"Ashburn, Virginia",39.0469,-77.4903,12.636
174.129.146.218:8333,00000000000000000007cb66826ba9645a03af67287beca3b0f36fe8e2f32a79,"Ashburn, Virginia",39.0469,-77.4903,12.636
3.222.208.128:8333,0000000000000000000391d44a2dded7722a034468983aaef14fa0b7f695a4b7,"Ashburn, Virginia",39.0469,-77.4903,12.636
3.219.31.130:8333,00000000000000000009af8b73adaee59f5aa29ca3c727abf76aaba5dad259aa,"Ashburn, Virginia",39.0469,-77.4903,12.636
3.222.208.128:8333,000000000000000000081012b82d9440ccd25165c01f30134049fdb159e2cb3a,"Ashburn, Virginia",39.0469,-77.4903,12.636
3.222.208.128:8333,0000000000000000000150911b8af59c66339d9307a5b76f5386d103fb09fe1f,"Ashburn, Virginia",39.0469,-77.4903,12.636
18.211.2.126:8333,0000000000000000000070e4e426aba8b6b59fddc4884e1261316a649a42ec40,"Ashburn, Virginia",39.0469,-77.4903,12.636
18.211.2.126:8333,00000000000000000005a34d13cd9a0f40ffc79c41ab8366e48160294c0aa34e,"Ashburn, Virginia",39.0469,-77.4903,12.636
3.222.208.128:8333,00000000000000000005f29f2355e6be9d9e6cbc2351066d684547c503c646f2,"Ashburn, Virginia",39.0469,-77.4903,12.636
3.219.31.130:8333,000000000000000000094a3ec588cc5ca70e00ee59fd1f72eb39d463ea08244f,"Ashburn, Virginia",39.0469,-77.4903,12.636
18.211.2.126:8333,00000000000000000006974fe2317b03e9352e9cdd7d9eed09b572b09b32b707,"Ashburn, Virginia",39.0468,-77.4903,12.636
159.246.25.52:8333,0000000000000000000500946ee2b43b67897dee473b9502fa5078b047c30045,"South Bend, Indiana",41.673,-86.253,30.361824
18.211.2.126:8333,000000000000000000003743e2b5d6dc7cfb8b871fbbc8be455c9475298a04d3,"Ashburn, Virginia",39.039,-77.4903,12.636
18.211.2.126:8333,0000000000000000000257ef19be149cbf43beefa1819480ac76f6548d87bda8,"Ashburn, Virginia",39.0469,-77.4903,12.636
147.135.70.192:8333,0000000000000000000582c7abf87fc2fc0ed0892d44933864446a237d7e0df5,"Reston, Virginia",38.957,-77.342,12.636
3.211.51.136:8333,000000000000000000042130f97a7bfa9849526ac706f1c8f06de9131147906c,"Ashburn, Virginia",39.0469,-77.4903,12.636
18.211.2.126:8333,00000000000000000000340fe4e73bf78ddb0ac528f38cdc2e42ac260954cec5,"Ashburn, Virginia",39.0469,-77.4903,12.636
34.236.113.58:8333,000000000000000000070e7493973f0ab3349f1e9b27ef0350b18f53fde09923,"Ashburn, Virginia",39.039,-77.4818,12.636
54.159.193.149:8333,00000000000000000008988c188d4976d4842aa37e9f63720e8017a34295ddf6,"Ashburn, Virginia",39.039,-77.491,12.636
18.211.2.126:8333,00000000000000000001ed6f3c0393ec1973e15b5515e3689ee536d2fc9da3b4,"Ashburn, Virginia",39.039,-77.491,12.636
3.222.208.128:8333,00000000000000000007079ef53f1c5bfe6d1114da0e50736b07ea59888cf838,"Ashburn, Virginia",39.039,-77.491,12.636
34.236.113.58:8333,00000000000000000000446ae13ac20a3a2fee1c8c022730bd5b02e0576b13fe,"Ashburn, Virginia",39.039,-77.491,12.636
174.129.146.218:8333,0000000000000000000981d2a56e9920395c41f9820d49b5d5bb1ab0a7827ef4,"Ashburn, Virginia",39.039,-77.491,12.636
18.211.2.126:8333,000000000000000000080a4b2ab7ef1100e842d3fd30e83f4e3e63abf7fdbc93,"Ashburn, Virginia",39.039,-77.491,12.636
3.219.31.130:8333,00000000000000000002e7543dd6d69d6b09f113896777de453e8bc89ea48f63,"Ashburn, Virginia",39.041,-77.492,12.636
3.222.208.128:8333,000000000000000000081baab8c042989f3cf7a3468db84c8ddd708011af63e9,"Ashburn, Virginia",39.039,-77.491,12.636
147.135.70.192:8333,000000000000000000052f32760e7d7911f7fd4f2e386bc4e0f5c7d55ef451e4,"Reston, Virginia",38.957,-77.342,12.636
3.222.208.128:8333,00000000000000000006feb667d01c05925fcc8822e8d12c3f4988ad5733e587,"Ashburn, Virginia",39.039,-77.491,13
3.222.208.128:8333,000000000000000000065c725d289d430be47892561377463b63037ae57a816d,"Ashburn, Virginia",39.039,-77.491,12.636
3.238.195.221:8333,00000000000000000000e469bcb5eeda153b3a0ef29f3d312011c214ad4c53ed,"Ashburn, Virginia",39.039,-77.491,12.636
132.145.183.187:8333,000000000000000000002d70db556a4bfd2f266cd4336b04d6f249207c33c78d,"Ashburn, Virginia",39.039,-77.491,12.636
3.222.208.128:8333,00000000000000000006f734550676c194888e7378edc220e1f8c473828403b9,"Ashburn, Virginia",39.039,-77.491,12.636
3.219.31.130:8333,00000000000000000009123eb8679833c9b6a013b7823f9f760dfd54ae8e65bf,"Ashburn, Virginia",39.039,-77.491,12.636
147.135.70.192:8333,00000000000000000005a010e372fb3975a19d85e67ea779069524201bad4593,"Reston, Virginia",38.957,-77.342,12.636
3.222.208.128:8333,00000000000000000001f6e0099194891614dab1daf42854872fd111f0dbc317,"Ashburn, Virginia",39.039,-77.491,12.636
3.222.208.128:8333,00000000000000000002f2f4fbb77be0174420c32b3c47fe8e489b35879ae267,"Ashburn, Virginia",39.039,-77.491,12.636
3.222.208.128:8333,000000000000000000010ceb677f66e90206340c43f644e23194afce85481523,"Ashburn, Virginia",39.039,-77.491,12.636
18.117.254.243:39849,00000000000000000009bc17c2ca91e9cde03b0b61898e67b5852ae77bede58d,"Columbus, Ohio",39.961,-82.999,24.558336
52.91.88.218:8333,00000000000000000008fa0f905e553fa4df50d48c2cecbd95cb712c1123a50f,"Ashburn, Virginia",39.039,-77.491,12.636
67.213.87.144:8333,00000000000000000004cbcdc7f33e601abbe5c883176edc855f33231a52d999,"Ottawa, Ontario",45.417,-75.693,1.296
67.213.87.144:8333,00000000000000000007edc1aa29f028a782c80211e1c7f54ed6467da88f1073,"Ottawa, Ontario",45.417,-75.694,1.296
67.213.87.144:8333,0000000000000000000429ebd91c7775d57b9833aec7dcfea893aed435ff80d3,"Ottawa, Ontario",45.417,-75.693,1.296
172.93.166.135:8333,000000000000000000041d4307b5d1afca18f391b2012ab26f240ca48ca256ef,"Atlanta, Goergia",33.753,-84.39,14.177376
44.204.82.234:8333,000000000000000000082ff3b634d0d93ae5d7d98790b3dd4d3d909f43dd3968,"Ashburn, Virginia",39.039,-77.491,12.636
67.213.87.144:8333,00000000000000000002bb8c7b51a317568839c562b6f1263b1dab93b7b91df1,"Ottawa, Ontario",45.417,-75.693,1.296
159.223.138.242:8333,00000000000000000008528d29bc249fd23e1a1c5441ef229014d6d577a26dd0,"North Bergen, NJ",40.804,-74.012,9.64656
208.104.92.74:8333,000000000000000000037c083a5da1f3362008a4cdd86e0f231d8956d2a14452,"Rock Hill, SC",34.967,-81.051,10.068056
